vid_idx,vid_name,global_idx,local_idx_in_prefix,prob,logit,gt_label,is_error,prefix_len,threshold
0,Bad.Boys.1995__#01-11-55_01-12-40_label_G-B2-B6,2,2,0.025178169831633568,-5.574825286865234,0,0,5,0.028337595984339714
1,Bad.Boys.1995__#01-33-51_01-34-37_label_B2-0-0,70,3,2.061439545286703e-06,-14.331141471862793,1,1,5,1.5492951206397265e-05
2,Bad.Boys.II.2003__#00-06-42_00-10-00_label_B2-G-0,140,4,2.621806913793989e-07,-15.918299674987793,0,0,5,1.0472396752447821e-05
3,Black.Hawk.Down.2001__#01-13-59_01-14-49_label_B2-0-0,434,1,2.2389838250092e-06,-15.850630760192871,0,0,5,3.430242486501811e-06
4,Black.Hawk.Down.2001__#01-32-40_01-34-00_label_B4-0-0,508,0,0.000312955176923424,-8.541881561279297,1,1,5,0.004310505464673042
5,Black.Hawk.Down.2001__#01-42-58_01-43-58_label_G-0-0,631,3,1.9137264217761185e-08,-18.882905960083008,0,0,5,5.5743626603543817e-08
6,Black.Hawk.Down.2001__#02-00-12_02-01-29_label_B2-0-0,720,2,4.1187682654708624e-05,-10.45988941192627,1,1,5,0.0001096231717383489
7,Braveheart.1995__#00-56-30_00-57-20_label_B1-0-0,835,2,0.0007682490977458656,-8.039545059204102,1,1,5,0.0016428094822913408
8,Braveheart.1995__#01-26-50_01-32-30_label_B1-0-0,911,3,4.861261186306365e-05,-11.094714164733887,0,0,5,0.00011669691593851894
9,Braveheart.1995__#02-05-34_02-06-40_label_B1-0-0,1420,2,5.448075324210322e-10,-21.918136596679688,0,0,5,8.2501061537954e-10
10,Braveheart.1995__#02-07-00_02-08-15_label_B1-0-0,1518,1,0.018654992803931236,-4.243097305297852,0,0,5,0.020622972398996353
11,Brick.Mansions.2014__#00-11-57_00-12-12_label_B2-0-0,1631,2,1.3221576409705449e-05,-12.429047584533691,0,0,5,3.7537465686909854e-05
12,Brick.Mansions.2014__#00-16-26_00-17-12_label_B1-0-0,1654,3,0.045407213270664215,-3.929685354232788,1,1,5,0.12844732403755188
13,Brick.Mansions.2014__#00-41-25_00-42-36_label_B1-0-0,1720,0,8.443786114753493e-09,-19.236190795898438,0,0,5,1.7288500941958773e-07
14,Brick.Mansions.2014__#01-02-00_01-02-43_label_B2-0-0,1827,1,7.939654460642487e-05,-12.838080406188965,0,0,5,0.0001388788514304906
15,Bullet.in.the.Head.1990__#00-17-20_00-18-55_label_B1-0-0,1892,2,6.216656038304791e-05,-11.039138793945312,0,0,5,0.0001099421497201547
16,Bullet.in.the.Head.1990__#00-23-31_00-24-40_label_G-0-0,2036,4,2.577157331984381e-08,-21.312610626220703,0,0,5,2.5420808924536686e-07
17,Bullet.in.the.Head.1990__#00-41-30_00-44-16_label_B4-G-0,2139,4,5.416130534285912e-06,-14.030702590942383,0,0,5,6.558633231179556e-06
