vid_idx,vid_name,global_idx,local_idx_in_prefix,prob,logit,gt_label,is_error,prefix_len,threshold
0,Bad.Boys.1995__#01-11-55_01-12-40_label_G-B2-B6,6,6,2.5252127215935616e-06,-18.475849151611328,0,0,20,0.31296467781066895
0,Bad.Boys.1995__#01-11-55_01-12-40_label_G-B2-B6,12,12,0.010213571600615978,-13.809613227844238,1,1,20,0.31296467781066895
1,Bad.Boys.1995__#01-33-51_01-34-37_label_B2-0-0,67,0,6.564202340086922e-05,-21.70444107055664,0,0,20,0.1054779663681984
1,Bad.Boys.1995__#01-33-51_01-34-37_label_B2-0-0,68,1,0.09867426007986069,-12.263154983520508,0,0,20,0.1054779663681984
2,Bad.Boys.II.2003__#00-06-42_00-10-00_label_B2-G-0,139,3,0.599571168422699,7.101932048797607,0,0,20,0.6935443878173828
2,Bad.Boys.II.2003__#00-06-42_00-10-00_label_B2-G-0,142,6,0.570374608039856,1.2849781513214111,0,0,20,0.6935443878173828
3,Black.Hawk.Down.2001__#01-13-59_01-14-49_label_B2-0-0,433,0,2.9975430493323074e-07,-34.739662170410156,0,0,20,0.5274062156677246
3,Black.Hawk.Down.2001__#01-13-59_01-14-49_label_B2-0-0,434,1,0.13846105337142944,-13.18028450012207,0,0,20,0.5274062156677246
4,Black.Hawk.Down.2001__#01-32-40_01-34-00_label_B4-0-0,512,4,0.032458383589982986,-12.2495756149292,1,1,20,0.4864841401576996
4,Black.Hawk.Down.2001__#01-32-40_01-34-00_label_B4-0-0,513,5,0.19367782771587372,-7.625324249267578,1,1,20,0.4864841401576996
5,Black.Hawk.Down.2001__#01-42-58_01-43-58_label_G-0-0,635,7,5.08467323800943e-10,-27.507856369018555,0,0,20,0.00016017905727494508
5,Black.Hawk.Down.2001__#01-42-58_01-43-58_label_G-0-0,641,13,2.2531811083581488e-08,-25.764514923095703,0,0,20,0.00016017905727494508
6,Black.Hawk.Down.2001__#02-00-12_02-01-29_label_B2-0-0,720,2,0.356187641620636,-5.5710577964782715,1,1,20,0.4519523084163666
6,Black.Hawk.Down.2001__#02-00-12_02-01-29_label_B2-0-0,724,6,0.3423185646533966,-4.1402177810668945,1,1,20,0.4519523084163666
7,Braveheart.1995__#00-56-30_00-57-20_label_B1-0-0,838,5,0.10276656597852707,-10.935809135437012,1,1,20,0.13164865970611572
7,Braveheart.1995__#00-56-30_00-57-20_label_B1-0-0,847,14,0.024907339364290237,-15.447558403015137,1,1,20,0.13164865970611572
8,Braveheart.1995__#01-26-50_01-32-30_label_B1-0-0,911,3,4.2783594267348235e-07,-23.810373306274414,0,0,20,0.10948529094457626
8,Braveheart.1995__#01-26-50_01-32-30_label_B1-0-0,921,13,1.343258759334276e-06,-24.569862365722656,0,0,20,0.10948529094457626
