vid_idx,vid_name,global_idx,local_idx_in_prefix,prob,logit,gt_label,is_error,prefix_len,threshold
0,Abuse028_x264_i3d,24,24,3.880529766320251e-05,-11.98332405090332,0,0,30,0.00010425392247270793
0,Abuse028_x264_i3d,27,27,9.272016905015334e-05,-11.711786270141602,0,0,30,0.00010425392247270793
0,Abuse028_x264_i3d,29,29,7.937789632705972e-05,-10.907145500183105,0,0,30,0.00010425392247270793
1,Abuse030_x264_i3d,89,0,2.73230664760149e-08,-19.66351890563965,0,0,30,3.450816876693352e-08
1,Abuse030_x264_i3d,90,1,3.223152944542562e-08,-19.03078842163086,0,0,30,3.450816876693352e-08
1,Abuse030_x264_i3d,92,3,1.1771490449064004e-08,-19.432382583618164,0,0,30,3.450816876693352e-08
2,Arrest001_x264_i3d,190,4,3.447846452786507e-09,-20.017990112304688,0,0,30,3.486211985759269e-09
2,Arrest001_x264_i3d,191,5,3.452755192867585e-09,-19.820287704467773,0,0,30,3.486211985759269e-09
2,Arrest001_x264_i3d,215,29,3.3282991918071048e-09,-20.27914047241211,0,0,30,3.486211985759269e-09
3,Arrest007_x264_i3d,339,4,2.2913911834621103e-07,-17.28485870361328,0,0,30,1.4329224313769373e-06
3,Arrest007_x264_i3d,341,6,5.1099334541504504e-08,-17.82309341430664,0,0,30,1.4329224313769373e-06
3,Arrest007_x264_i3d,345,10,3.735510460955993e-07,-16.31891441345215,0,0,30,1.4329224313769373e-06
4,Arrest024_x264_i3d,533,1,4.002816922366037e-08,-17.7675838470459,0,0,30,5.610878162087829e-08
4,Arrest024_x264_i3d,538,6,2.978914714901748e-08,-18.001379013061523,0,0,30,5.610878162087829e-08
4,Arrest024_x264_i3d,547,15,2.9084336716778125e-08,-17.744497299194336,0,0,30,5.610878162087829e-08
5,Arrest030_x264_i3d,766,7,1.6489194365476578e-07,-16.441205978393555,0,0,30,2.5961730898416135e-07
5,Arrest030_x264_i3d,770,11,1.5862154612023005e-07,-16.704622268676758,0,0,30,2.5961730898416135e-07
5,Arrest030_x264_i3d,771,12,2.4225337824645976e-07,-16.262344360351562,0,0,30,2.5961730898416135e-07
