vid_idx,vid_name,global_idx,local_idx_in_prefix,prob,logit,gt_label,is_error,prefix_len,threshold
0,Abuse028_x264_i3d,0,0,0.22787319123744965,-1.2223188877105713,0,0,3,0.23710517585277557
0,Abuse028_x264_i3d,1,1,0.23710517585277557,-1.175837516784668,0,0,3,0.23710517585277557
0,Abuse028_x264_i3d,2,2,0.20347146689891815,-1.3802112340927124,0,0,3,0.23710517585277557
1,Abuse030_x264_i3d,89,0,0.15964892506599426,-1.7232574224472046,0,0,3,0.15964892506599426
1,Abuse030_x264_i3d,90,1,0.1494612991809845,-1.7699158191680908,0,0,3,0.15964892506599426
1,Abuse030_x264_i3d,91,2,0.14347116649150848,-1.8096064329147339,0,0,3,0.15964892506599426
2,Arrest001_x264_i3d,186,0,0.15422026813030243,-1.7219364643096924,0,0,3,0.15422026813030243
2,Arrest001_x264_i3d,187,1,0.1538246124982834,-1.720423936843872,0,0,3,0.15422026813030243
2,Arrest001_x264_i3d,188,2,0.149091437458992,-1.7560758590698242,0,0,3,0.15422026813030243
3,Arrest007_x264_i3d,335,0,0.18275246024131775,-1.5014816522598267,0,0,3,0.18581871688365936
3,Arrest007_x264_i3d,336,1,0.17939452826976776,-1.529860496520996,0,0,3,0.18581871688365936
3,Arrest007_x264_i3d,337,2,0.18581871688365936,-1.488120436668396,0,0,3,0.18581871688365936
4,Arrest024_x264_i3d,532,0,0.1721104383468628,-1.577966570854187,0,0,3,0.1721104383468628
4,Arrest024_x264_i3d,533,1,0.15243832767009735,-1.718711256980896,0,0,3,0.1721104383468628
4,Arrest024_x264_i3d,534,2,0.16106845438480377,-1.6517012119293213,0,0,3,0.1721104383468628
5,Arrest030_x264_i3d,759,0,0.1938658505678177,-1.4280790090560913,0,0,3,0.19868098199367523
5,Arrest030_x264_i3d,760,1,0.1981111615896225,-1.4022010564804077,0,0,3,0.19868098199367523
5,Arrest030_x264_i3d,761,2,0.19868098199367523,-1.4026005268096924,0,0,3,0.19868098199367523
6,Arrest039_x264_i3d,1300,0,0.12854225933551788,-1.943071961402893,0,0,3,0.1366058886051178
6,Arrest039_x264_i3d,1301,1,0.1276339590549469,-1.9474430084228516,0,0,3,0.1366058886051178
