vid_idx,vid_name,global_idx,local_idx_in_prefix,prob,logit,gt_label,is_error,prefix_len,threshold
0,Bad.Boys.1995__#01-11-55_01-12-40_label_G-B2-B6,6,6,0.8101076483726501,6.5289154052734375,0,0,20,0.8672336935997009
0,Bad.Boys.1995__#01-11-55_01-12-40_label_G-B2-B6,12,12,0.4823319613933563,-4.662917137145996,1,1,20,0.8672336935997009
1,Bad.Boys.1995__#01-33-51_01-34-37_label_B2-0-0,71,4,0.15896299481391907,-10.659770965576172,1,1,20,0.3927249014377594
1,Bad.Boys.1995__#01-33-51_01-34-37_label_B2-0-0,78,11,0.03751355782151222,-15.599130630493164,1,1,20,0.3927249014377594
2,Bad.Boys.II.2003__#00-06-42_00-10-00_label_B2-G-0,139,3,0.751823365688324,6.813258647918701,0,0,20,0.7927364706993103
2,Bad.Boys.II.2003__#00-06-42_00-10-00_label_B2-G-0,143,7,0.5925981998443604,1.3090285062789917,0,0,20,0.7927364706993103
3,Black.Hawk.Down.2001__#01-13-59_01-14-49_label_B2-0-0,446,13,0.3390069007873535,-3.574394941329956,1,1,20,0.558224081993103
3,Black.Hawk.Down.2001__#01-13-59_01-14-49_label_B2-0-0,447,14,0.0521753691136837,-13.809760093688965,1,1,20,0.558224081993103
4,Black.Hawk.Down.2001__#01-32-40_01-34-00_label_B4-0-0,517,9,0.5898494720458984,1.806883454322815,1,1,20,0.5914810299873352
4,Black.Hawk.Down.2001__#01-32-40_01-34-00_label_B4-0-0,518,10,0.4931986927986145,-1.5794883966445923,1,1,20,0.5914810299873352
5,Black.Hawk.Down.2001__#01-42-58_01-43-58_label_G-0-0,635,7,4.165847258263966e-07,-24.056617736816406,0,0,20,0.02049769088625908
5,Black.Hawk.Down.2001__#01-42-58_01-43-58_label_G-0-0,641,13,0.0019018128514289856,-16.216657638549805,0,0,20,0.02049769088625908
6,Black.Hawk.Down.2001__#02-00-12_02-01-29_label_B2-0-0,723,5,0.7714323401451111,20.054553985595703,1,1,20,0.7982238531112671
6,Black.Hawk.Down.2001__#02-00-12_02-01-29_label_B2-0-0,724,6,0.7734614610671997,7.468761444091797,1,1,20,0.7982238531112671
